"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Front","Change Password Page","Проверка изменения пароля","0","0","1","0","0"
"Front","My Account Page","Проверка создания нового адреса","0","0","1","0","0"
"Front","My Account Page","Проверка перехода по разделам из раздела My Accounts и возвращение по кнопке Back","0","0","4","0","0"
"Front","My Account Page","Проверка изменения данных Имени и Фамилии","0","0","1","0","0"
"API","User","","0","0","3","0","0"
"API","Pet","","0","0","15","0","0"
"Front","Change Password Page","Проверка заполнения поля Password Confirm несовпадающим значением","0","0","1","0","0"
"Front","My Wishlist Page","Проверка добавления продукта в Wish List и его отображение в разделе","0","0","1","0","0"
"API","Order","","0","0","5","0","0"
"Front","Change Password Page","Проверка заполнения поля Password некорректными значениями","0","0","1","0","0"
"Front","Change Password Page","Проверка изменения пароля аккаунта без заполненных обязательных полей","0","0","1","0","0"
"Front","My Account Page","Проверка изменения данных в профиле c пустыми обязательными полями","0","0","1","0","0"
"Front","Orders Page","Проверка создания заказа и его отображение","0","0","1","0","0"
"Front","My Account Page","Проверка раздела на странице My Account","0","0","1","0","0"
"Front","My Wishlist Page","Проверка удаления продукта из Wish List","0","0","1","0","0"
